year,as_of,creator,metric,niche,geo,low,high,point,currency,unit,period,views,revenue,basis,publisher,source_url,locator,notes
2020,2020-02-01,Roberto Blake,cpm,business,unknown,,,21.62,USD,per_1000_impressions,2020-01,259200.0,2400.36,creator_report,Roberto Blake (robertoblake.com),https://robertoblake.com/youtube-income-report-01-2020/,"Avg CPM $2,400.36 259.2K 181.8K 7 $21.62",181.8K monetized views; channel about making money online/creator economy
2020,2020-02-29,Roberto Blake,cpm,business,unknown,,,21.73,USD,per_1000_impressions,2020-02,266000.0,2548.53,creator_report,Roberto Blake (robertoblake.com),https://robertoblake.com/youtube-income-report-02-2020/,"Avg CPM $2,548.53 266K 186.9K 8 $21.73",186.9K monetized views
2020,2020-05-02,Roberto Blake,cpm,business,unknown,,,19.64,USD,per_1000_impressions,2020-03,226100.0,2004.24,creator_report,Roberto Blake (robertoblake.com),https://robertoblake.com/youtube-income-report-03-2020/,"Avg CPM $2,004.24 226.1K 153.0K 6 $19.64",COVID month; says CPM did not drastically decrease
2020,2020-09-21,Roberto Blake,cpm,business,unknown,,,19.55,USD,per_1000_impressions,2020-08,456685.0,3758.64,creator_report,Roberto Blake (robertoblake.com),https://robertoblake.com/youtube-income-report-08-2020/,"Avg CPM Avg RPPM $3,758.64 456,685 349,599 5 $19.55 $15.69","349,599 monetized views"
2020,2024-01-04,Brick Experiment Channel,rpm,entertainment,unknown,,,1.0,USD,per_1000_views,2020 calendar year,168000000.0,,creator_report,Brick Experiment Channel (WordPress blog),https://brickexperimentchannel.wordpress.com/2024/01/05/year-2023/,Yearly stats table row: 2020 168M ... RPM 1.00 CPM 2.81,Lego engineering/experiment channel; most views from US; kids-skewed audience
2020,2024-01-04,Brick Experiment Channel,cpm,entertainment,unknown,,,2.81,USD,per_1000_impressions,2020 calendar year,168000000.0,,creator_report,Brick Experiment Channel (WordPress blog),https://brickexperimentchannel.wordpress.com/2024/01/05/year-2023/,Yearly stats table row: 2020 168M ... RPM 1.00 CPM 2.81,playback-based CPM 3.28 same row
2020,2020-04-03,Shelby Church,rpm,lifestyle,unknown,,,0.33,USD,per_1000_views,lifetime of one video to 2020-04,3907000.0,1275.99,creator_report,Shelby Church (OneZero on Medium; first-person post),https://onezero.medium.com/this-is-how-much-youtube-paid-me-for-my-1-000-000-viewed-video-1453cad73847,"I made $1,275.99 from the 3,907,000 views on this video",DERIVED revenue/views; 'How To Pose In Photos'; mostly India/Philippines/Pakistan/Nepal views
2020,2020-04-03,Shelby Church,cpm,lifestyle,US,,,4.08,USD,per_1000_impressions,lifetime of one video to 2020-04,,,creator_report,Shelby Church (OneZero on Medium; first-person post),https://onezero.medium.com/this-is-how-much-youtube-paid-me-for-my-1-000-000-viewed-video-1453cad73847,playback-based CPM was $4.08 from the views in the United States,same video as the IN row
2020,2020-04-03,Shelby Church,cpm,lifestyle,IN,,,1.16,USD,per_1000_impressions,lifetime of one video to 2020-04,,,creator_report,Shelby Church (OneZero on Medium; first-person post),https://onezero.medium.com/this-is-how-much-youtube-paid-me-for-my-1-000-000-viewed-video-1453cad73847,while it was only $1.16 in India,same video as the US row
2020,2020-04-03,Shelby Church,rpm,tech,unknown,,,5.67,USD,per_1000_views,lifetime of one video to 2020-04,2057000.0,11653.93,creator_report,Shelby Church (OneZero on Medium; first-person post),https://onezero.medium.com/this-is-how-much-youtube-paid-me-for-my-1-000-000-viewed-video-1453cad73847,"the video had 2,057,000 views and had made $11,653.93",DERIVED; 'Top 10 Features of the Tesla Model 3'; 10+ min with mid-roll
2020,2020-04-03,Shelby Church,cpm,tech,unknown,,,11.06,USD,per_1000_impressions,lifetime of one video to 2020-04,2057000.0,11653.93,creator_report,Shelby Church (OneZero on Medium; first-person post),https://onezero.medium.com/this-is-how-much-youtube-paid-me-for-my-1-000-000-viewed-video-1453cad73847,This video had a playback based CPM of $11.06,more US/Canada views
2020,2024-01-04,Brick Experiment Channel,impressions_ctr,entertainment,unknown,,,5.9,,percent,2020 calendar year,168000000.0,,creator_report,Brick Experiment Channel (WordPress blog),https://brickexperimentchannel.wordpress.com/2024/01/05/year-2023/,Yearly stats table row: 2020 CTR 5.9%,thumbnail impressions click-through rate from YouTube Analytics
2020,2020-01,Florin Pop,sponsor_fee,tech,unknown,,,1500.0,USD,usd_per_video,biggest sponsorship (own) ~5K subs,,,creator_report,Indie Hackers product page by creator,https://www.indiehackers.com/product/web-development-youtube-channel/biggest-sponsorship-to-date-1-500-video--Lza6iS-sriw7F2nh7kP,"Biggest Sponsorship to Date ($1,500 / video)",channel hit 5K subs 2020-01-25
