video_id,category,days_observed,first_age_days,first_daily_views,last_views,half_life_days
-0CMnp02rNY,entertainment,5,2.46,129541,800359,1.051
-35jibKqbEo,music,7,1.29,320246,2425578,
-37nIo_tLnk,sports,7,2933.02,124,3170,2.336
-3h4Xt9No9o,news,9,1.49,79513,373184,1.932
-3nEHRN6IPg,howto,4,4.31,6617,266142,3.68
-4s2MeUgduo,science_tech,12,2.34,38002,437732,3.896
-5aaJJQFvOg,music,10,2.08,118823,1168351,5.597
-7UzyXO-mzk,pets,5,1.5,654860,2620061,2.476
-7_ATlZ-zMc,sports,14,3.14,629170,3510260,2.183
-BDImdAfodA,music,5,2.63,197628,1307790,6.981
-BQJo3vK8O8,music,10,6.54,3749074,87264467,167.145
-C5q3oir8gA,entertainment,6,1.54,138285,834586,3.083
-C_rvt0SwLE,music,7,1.29,2015734,11773962,9.606
-EL8TuMsb-k,howto,13,6.0,11890,565288,16.145
-El8z4uy5Ac,comedy,5,1.29,194320,639982,1.317
-HoAafTYR9w,news,4,3.05,1969,50669,2.313
-HrakxB4Klo,science_tech,4,2.03,12238,125684,1.973
-L4RYm9Tq7I,news,4,4.4,15617,182121,2.647
-NEhvlJA5q8,news,4,2.26,15642,330827,0.534
-NIP2zgVsRY,pets,6,2.54,113127,837697,1.995
-NcG4L0pwvE,howto,5,3.04,26277,422918,3.747
-Qv6p6pTz5I,entertainment,5,1.71,2069514,8955556,2.064
-R9F2_D76TE,education,11,2.98,44961,359141,2.437
-RmUADCWI4A,sports,6,2.04,1185420,14107720,41.263
-SIp6xSP7ds,news,7,1.48,190464,540227,1.327
-TQpVg4vcrk,comedy,8,1.23,112624,477269,5.985
-VgOGzBcMIg,entertainment,6,1.92,113449,440020,1.442
-WedqN1iYbM,music,4,2.22,9165,49638,1.076
-YRlVB6Qgug,entertainment,6,1.42,220190,723523,1.571
-_jlqATo9eo,entertainment,7,0.81,14864,27659,1.021
-e-xXN-tcFU,music,21,3.42,34347,681328,
-kETYvHON_I,education,6,1.35,144064,597049,1.233
-kTWIm7m4Uw,comedy,26,2.06,280961,3440148,6.798
-lgcAySBbTA,people_blogs,4,1.77,1180130,4518449,2.852
-mvfLtZTe3Q,news,4,1.34,252581,443498,0.493
-nbm90xAhWY,entertainment,5,1.46,59078,249572,1.207
-o7zywbiFVI,news,5,1.28,38816,97024,0.64
-oCQn2VkStI,science_tech,6,0.96,185767,379176,1.075
-oOlAGKBXnA,comedy,6,2.03,341883,1618811,1.396
-oXybog2IuI,education,5,1.33,8829,38775,2.005
-p-PToD2URA,science_tech,10,1.38,219383,1891032,1.939
-p2lhxUqMMQ,education,5,1.23,144276,398058,1.111
-ppaazmNIgA,entertainment,4,1.37,150060,588513,1.091
-rZkKvRZ0UE,science_tech,4,2.17,47928,159575,0.786
-s3j-ptJD10,education,11,2.35,72038,817600,2.551
-t1q78GYNww,howto,4,7.0,1758,133022,4.617
-txKpma65ZU,people_blogs,6,1.71,81505,457513,2.776
-v-_Z11T5L4,film,6,1.63,25281,83301,1.352
-xAMnJgc3oA,music,9,2.81,76123,594958,1.744
-xt_j2aIAkg,sports,6,1.62,183164,2678479,
-yMXWp-Fh3g,howto,5,1.96,31919,221336,2.235
-zrJwYFJtZo,pets,6,8.54,9828,564733,2.988
0-7wMD5ISIs,people_blogs,8,2.11,207129,6647081,1.499
00RpZZThSAs,entertainment,10,2.3,120857,1217872,2.756
01AEuxSlIMg,autos,6,1.62,28826,275180,
032BPsxhreM,entertainment,6,1.08,27852,54340,0.761
07S_Glj3uYs,music,10,1.29,288379,1509716,4.544
