series,year,period,value,low,high,unit,geo,publisher,source_url,locator,notes
yt_ad_revenue,2017,FY,8.15,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,"Revenue by type table, row ""YouTube ads"": 8,150 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2018,FY,11.155,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,"Revenue by type table, row ""YouTube ads"": 11,155 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2019,FY,15.149,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,"Revenue by type table, row ""YouTube ads"": 15,149 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2020,FY,19.772,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,"Revenue by type table, row ""YouTube ads"": 19,772 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2021,FY,28.845,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,"Revenue by type table, row ""YouTube ads"": 28,845 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2022,FY,29.243,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,"Revenue by type table, row ""YouTube ads"": 29,243 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2023,FY,31.51,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,"Revenue by type table, row ""YouTube ads"": 31,510 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2024,FY,36.147,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,"Revenue by type table, row ""YouTube ads"": 36,147 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2025,FY,40.367,,,usd_billions,global,Alphabet Inc. (Form 10-K),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,"Revenue by type table, row ""YouTube ads"": 40,367 (USD millions)",Disaggregated revenue note; primary SEC filing
yt_ad_revenue,2019,Q3,3.804,,,usd_billions,global,Alphabet Inc. (Form 10-Q),https://www.sec.gov/Archives/edgar/data/1652044/000165204420000050/goog-20200930.htm,"Three months ended, row ""YouTube ads"": 3,804 (USD millions)",Primary SEC filing (some quarters taken from prior-year comparative column)
